10	10	10	10	25	25	25	35	41	41	50	64	64	64	70	70	70	81	89	89	
10	10	10	10	25	25	25	35	41	41	50	64	64	64	70	70	70	81	89	89	
10	10	10	10	10	10	44	55	55	55	63	63	63	63	63	63	63	63	63	63	
14	14	14	14	14	33	33	33	35	35	35	50	50	50	52	52	63	63	79	79	
16	16	16	29	29	47	53	56	59	59	59	61	75	75	78	85	88	88	88	90	
13	13	13	13	18	32	32	32	32	44	44	57	72	72	72	72	72	82	82	82	
13	13	13	36	36	36	61	70	73	73	79	81	81	81	90	90	90	92	92	94	
12	12	12	12	12	37	46	62	62	62	62	65	65	65	65	72	72	74	74	79	
12	12	12	12	12	12	12	12	12	43	54	69	69	69	73	73	73	79	81	97	
12	12	12	12	42	69	69	69	75	75	78	78	78	78	78	80	80	82	84	96	
9	9	9	9	22	37	37	47	47	50	50	50	52	73	73	73	79	89	94	94	
6	6	21	21	35	35	35	35	39	39	39	46	53	62	62	62	73	73	73	82	
10	10	10	10	23	23	37	37	52	56	56	56	65	65	65	67	74	74	74	74	
7	7	10	10	25	25	41	41	41	49	55	55	55	60	60	60	71	74	85	85	
14	14	14	28	28	43	43	43	43	43	49	49	49	49	49	77	77	77	77	77	
9	9	9	9	9	9	24	31	31	33	37	37	37	37	37	39	54	68	77	77	
13	13	13	13	29	29	32	32	32	36	40	40	40	42	48	57	68	71	71	71	
7	7	7	7	7	7	16	16	24	43	72	72	78	78	81	81	81	84	86	86	
10	10	10	10	10	26	54	70	70	70	70	70	74	74	77	77	79	79	79	79	
9	9	9	9	9	19	34	34	34	34	34	54	54	56	64	64	74	74	74	80	
8	8	8	8	8	23	23	39	55	55	55	55	63	63	63	63	74	74	74	78	
12	12	12	12	12	12	43	53	53	59	59	59	59	65	65	65	65	65	65	67	
13	13	13	13	26	26	26	26	60	60	60	60	60	60	60	60	68	70	76	85	
16	16	16	16	16	16	16	16	21	41	47	47	62	62	62	62	76	80	80	80	
8	8	8	8	30	30	32	32	32	46	68	68	72	72	72	72	72	74	74	74	
10	10	10	10	19	19	19	19	54	62	62	62	62	67	77	77	77	90	100	100	
8	8	8	8	12	16	29	46	71	71	78	78	78	78	81	81	88	88	88	88	
11	11	11	32	48	48	48	48	63	66	66	66	66	66	73	76	78	78	78	78	
11	11	11	11	27	27	27	27	33	33	48	48	50	73	73	77	77	85	88	88	
9	12	12	12	12	12	26	26	40	63	74	74	80	80	80	96	96	96	96	96	
9	9	9	9	24	38	38	51	51	51	51	63	65	65	68	77	82	82	90	90	
13	13	13	13	13	25	25	47	68	68	71	71	71	71	71	77	77	77	77	77	
12	12	12	12	12	12	35	37	50	56	56	56	56	56	69	83	83	83	83	85	
10	10	10	10	10	21	36	48	52	52	56	56	56	71	73	73	73	81	84	88	
9	9	9	9	26	26	28	43	43	50	53	59	59	67	80	80	80	83	83	86	
11	11	11	11	11	11	11	11	11	25	54	54	54	56	56	56	60	69	69	75	
9	9	9	9	29	29	33	33	33	36	51	51	65	65	65	65	65	65	65	68	
17	17	17	17	17	34	56	56	66	66	66	66	66	66	72	72	72	77	77	77	
14	14	14	31	31	44	59	63	75	75	86	86	86	89	89	89	89	89	89	89	
13	13	13	13	23	23	51	60	60	60	60	60	60	62	62	62	64	66	82	87	
13	13	13	13	13	26	26	41	41	41	58	58	58	73	73	73	76	86	86	86	
13	13	13	13	13	29	29	29	29	29	29	35	56	67	67	79	84	84	84	84	
12	12	12	12	12	12	12	19	37	37	37	42	45	58	58	58	58	77	85	85	
15	15	15	30	30	30	30	32	59	62	75	78	78	78	78	78	78	78	82	82	
7	7	7	7	22	22	22	42	47	47	56	56	56	56	56	70	76	86	89	92	
15	15	15	15	31	37	41	51	61	75	79	79	79	84	84	84	84	87	89	89	
16	16	16	16	16	16	47	53	53	53	64	64	68	68	73	77	77	82	82	82	
8	8	8	8	8	20	33	43	53	53	53	71	71	71	71	86	86	86	88	94	
15	15	15	15	31	41	52	64	67	67	67	74	74	74	74	74	74	74	82	82	
3	3	18	18	18	18	33	33	33	41	41	51	58	61	61	61	61	66	89	89	
