(2.277778, 2.187500, 16, 0) 
(3.142857, 3.250000, 9, 11) 
(4.142857, 4.100000, 9, 11) 
(2.272727, 2.631579, 9, 10) 
(2.750000, 2.750000, 10, 10) 
(3.400000, 3.400000, 10, 10) 
(3.350000, 3.350000, 10, 10) 
(3.285714, 3.368421, 10, 9) 
(2.714286, 2.947368, 10, 9) 
(2.652174, 3.157895, 8, 11) 
(3.333333, 3.526316, 10, 9) 
(2.120000, 3.058824, 8, 9) 
(4.100000, 4.100000, 10, 10) 
(2.818182, 3.100000, 8, 12) 
(3.200000, 3.200000, 10, 10) 
(3.095238, 3.000000, 9, 11) 
(4.047619, 4.105263, 10, 9) 
(2.850000, 2.850000, 10, 10) 
(2.952381, 3.000000, 9, 11) 
(3.200000, 3.200000, 10, 10) 
(2.000000, 2.000000, 10, 10) 
(3.666667, 3.578947, 10, 9) 
(3.050000, 3.050000, 10, 10) 
(2.913043, 3.823529, 10, 7) 
(3.800000, 3.800000, 10, 10) 
(2.428571, 2.450000, 9, 11) 
(3.238095, 3.526316, 10, 9) 
(2.217391, 2.550000, 7, 13) 
(3.523810, 3.526316, 10, 9) 
(3.380952, 3.350000, 9, 11) 
(1.807692, 2.764706, 7, 10) 
(3.190476, 3.100000, 9, 11) 
(1.961538, 3.125000, 8, 8) 
(3.250000, 3.250000, 10, 10) 
(3.000000, 3.000000, 9, 11) 
(2.363636, 2.888889, 10, 8) 
(3.050000, 3.050000, 10, 10) 
(3.550000, 3.550000, 10, 10) 
(2.900000, 2.900000, 10, 10) 
(3.142857, 3.250000, 9, 11) 
(2.800000, 2.800000, 10, 10) 
(2.608696, 2.950000, 7, 13) 
(3.200000, 3.200000, 10, 10) 
(3.950000, 3.950000, 10, 10) 
(4.050000, 4.050000, 10, 10) 
(3.350000, 3.350000, 10, 10) 
(3.600000, 3.600000, 10, 10) 
(2.227273, 2.666667, 10, 8) 
(3.523810, 3.523810, 8, 13) 
(2.900000, 2.900000, 10, 10) 
(3.046993, 3.196147, 9.540000, 9.880000) 
