24	34	40	64	64	82	82	146	170	199	219	270	308	361	390	406	406	421	421	421	444	446	451	458	458	458	472	493	499	499	
24	34	40	64	64	82	82	146	170	199	219	270	308	361	390	406	406	421	421	421	444	446	451	458	458	458	472	493	499	499	
24	34	40	64	64	82	82	146	170	199	219	270	308	361	390	406	406	421	421	421	444	446	451	458	458	458	472	493	499	499	
24	34	40	64	64	82	82	146	170	199	219	270	308	361	390	406	406	421	421	421	444	446	451	458	458	458	472	493	499	499	
14	14	14	33	55	55	55	55	85	85	171	171	192	276	282	331	347	359	379	393	419	433	435	445	445	451	451	480	484	490	
16	16	16	16	16	16	47	80	133	133	148	246	292	337	344	372	390	390	491	493	493	508	514	514	514	541	541	541	541	541	
26	26	26	26	66	88	105	120	190	204	240	251	299	329	349	395	423	447	447	449	483	486	486	486	488	490	493	493	493	497	
19	19	19	19	19	19	49	58	58	151	159	162	184	207	207	246	291	291	301	301	307	373	385	392	402	446	477	490	490	490	
18	18	18	18	39	65	83	91	117	120	175	190	259	322	322	363	398	406	410	420	428	428	434	434	434	438	438	468	498	515	
21	21	50	66	85	85	113	131	167	179	229	256	261	299	319	346	418	418	422	422	445	445	455	462	492	510	519	525	545	547	
17	17	17	31	31	39	61	143	224	244	270	273	281	281	341	362	380	387	412	433	476	476	511	511	511	522	526	530	533	555	
17	17	38	38	52	68	68	68	97	123	199	252	252	255	343	383	383	383	383	424	494	500	504	514	541	541	541	541	545	565	
24	24	24	51	76	76	102	132	179	204	223	241	241	279	314	349	349	360	368	368	403	424	426	426	463	463	479	479	495	495	
16	16	16	38	38	98	118	128	128	148	195	195	205	255	316	316	354	368	368	384	403	403	413	416	418	483	494	494	494	494	
19	40	40	84	110	110	140	170	189	241	267	285	326	392	425	425	474	474	493	499	499	501	503	503	503	509	509	513	513	513	
13	13	13	21	50	58	82	93	157	157	157	212	283	303	303	349	351	442	472	496	520	520	522	522	528	528	533	533	533	545	
18	18	18	40	48	48	145	174	174	208	260	277	277	293	293	293	293	304	320	348	369	371	470	474	474	480	480	480	500	500	
14	14	14	14	41	53	129	129	183	186	188	214	214	234	311	321	373	409	424	429	429	429	429	443	483	503	505	505	505	518	
20	20	20	20	38	79	148	154	173	173	229	284	319	323	342	362	390	419	419	419	426	426	467	467	467	467	467	467	467	467	
20	20	20	20	39	39	67	102	102	102	153	199	212	245	276	276	276	307	307	318	318	444	505	505	514	540	540	546	546	546	
22	22	22	63	96	103	139	143	165	187	202	224	238	377	426	448	451	468	481	487	487	493	512	512	512	514	529	533	533	533	
17	17	36	36	36	93	106	162	238	275	281	283	312	312	321	365	365	378	402	442	488	490	490	490	490	490	494	494	494	494	
12	12	12	12	12	48	126	160	193	193	255	275	357	357	429	436	436	444	463	487	517	517	519	521	524	524	524	534	542	544	
36	36	40	58	63	99	102	102	160	183	196	244	297	346	363	392	396	396	418	421	421	431	445	445	451	451	451	463	465	465	
22	22	22	28	28	81	105	132	146	159	180	194	270	282	319	337	343	367	389	423	423	448	452	475	480	505	521	521	525	525	
21	21	21	21	21	54	115	138	201	201	245	289	289	289	292	337	337	337	337	379	381	385	393	414	414	414	414	414	484	484	
21	21	21	21	21	131	151	151	174	184	192	204	247	247	273	293	347	392	414	425	450	501	501	528	528	530	534	555	555	555	
25	25	25	25	40	80	126	144	196	255	270	283	322	330	364	407	407	407	435	472	475	475	510	510	510	510	510	516	516	516	
18	18	18	18	26	71	113	172	187	192	211	220	229	266	358	363	418	418	439	516	526	531	542	542	542	554	560	560	572	581	
13	13	25	42	50	66	76	104	131	170	232	234	282	329	329	349	349	349	355	410	410	410	410	423	432	434	434	434	434	462	
15	15	31	31	33	51	102	107	131	159	185	202	237	288	292	319	333	428	428	465	465	472	488	497	497	508	508	525	531	531	
12	12	12	12	41	57	57	136	202	268	271	282	289	338	352	365	378	398	447	447	447	473	473	473	473	499	502	502	502	502	
19	19	19	54	90	106	179	183	256	293	301	328	328	363	378	380	380	439	439	459	467	467	467	467	484	484	490	490	492	509	
13	13	13	13	13	25	25	108	176	183	248	289	289	354	370	370	376	393	398	423	423	443	450	450	452	461	463	466	472	479	
17	17	17	17	17	36	84	96	144	190	194	209	238	258	271	314	317	328	342	354	372	380	380	380	419	472	472	504	504	504	
22	22	22	22	22	48	48	113	156	187	251	284	289	298	366	387	428	436	436	450	459	466	466	466	484	498	498	546	546	552	
21	21	21	21	21	21	21	39	96	96	149	256	277	326	332	412	425	425	448	448	488	490	490	511	511	513	520	526	529	534	
20	20	20	20	87	114	135	139	161	194	215	268	268	280	286	307	317	346	346	414	414	414	414	457	473	490	490	496	496	496	
20	20	20	39	39	53	83	104	106	106	175	175	186	287	303	338	338	367	367	416	416	465	465	491	496	498	501	501	501	507	
19	19	19	31	37	43	103	124	134	193	198	208	208	208	270	336	351	365	448	448	496	496	496	504	504	509	516	516	521	521	
14	14	14	14	14	14	29	64	64	126	126	146	181	204	224	268	336	369	420	465	469	469	469	471	488	488	514	514	514	521	
21	21	21	59	59	87	87	109	143	159	193	212	229	295	318	334	363	402	411	411	427	427	427	427	443	471	508	508	531	533	
16	16	16	16	16	16	34	49	127	137	155	155	179	192	273	315	323	323	365	382	395	395	454	454	465	480	480	480	480	485	
14	14	22	42	42	56	61	61	119	137	137	151	210	273	287	326	375	375	379	387	434	467	486	486	506	512	516	542	542	570	
27	27	27	27	37	61	61	72	72	99	147	238	238	299	299	362	383	383	408	414	426	466	474	488	512	514	514	514	516	516	
28	28	28	69	102	102	113	113	162	180	206	206	206	247	277	316	335	351	403	409	409	414	414	414	414	417	451	451	470	470	
10	10	10	10	10	10	25	144	207	239	245	316	360	425	425	448	466	478	478	478	478	480	480	480	500	509	509	509	543	543	
19	19	19	19	40	77	94	99	182	199	227	238	337	359	359	359	380	409	409	409	433	436	443	445	449	449	484	486	493	493	
12	12	12	12	12	12	33	66	66	121	146	256	307	390	407	413	413	427	427	427	427	427	427	462	476	500	531	535	535	535	
30	30	30	61	61	90	97	116	157	191	225	245	292	317	334	354	367	419	422	422	422	422	422	437	448	459	468	471	471	486	
25	25	25	25	25	33	67	67	88	232	276	318	337	339	341	378	399	422	436	438	469	469	469	469	497	499	499	499	499	499	
16	16	16	19	35	44	84	91	120	125	217	236	254	276	351	397	421	421	433	453	501	501	504	504	508	530	535	538	538	551	
